順号,仕込規模,留日,仕込区分,製法区分,上槽予定,タンク番号,備考,順号,使用区分,日付,白米品種,精米歩合,数量,順号,使用区分,日付,白米品種,精米歩合,数量,順号,モト麹の冷凍、冷蔵,モト総米,モト仕込月日,卸(使用)月日,日順,酵母,モトタンクNo.,備考
1,1350,45926,純米60/65,0,45949,28,辛口(1),1,モト麹,45911,R6八反錦60,60,25,1,モト掛,45914,R6八反錦60,60,45,1,,70,45915,45923,9,K-701,,高温糖化
2,1200,45928,吟醸60,0,45951,225,0,2,モト麹,45911,R6八反錦60,60,20,2,モト掛,45916,R6八反錦60,60,40,2,冷蔵,60,45917,45925,9,K-1801 (4)  K-901(1),,高温糖化
3,1000,45930,純大山田錦50,0,45955,226,0,3,モト麹,45912,R6兵庫山田錦40,40,20,3,モト掛,45915,R6岡山山田錦50,50,35,3,,55,45916,45926,11,K-1801+(K-901),,
4,1220,45932,特純13度山田錦60,0,45957,227,13度(1),4,モト麹,45912,R6兵庫山田錦40,40,25,4,モト掛,45917,R6岡山山田錦50,50,40,4,冷蔵,65,45918,45928,11,K-701,,
5,900,45934,大吟40,0,45960,263,山田錦100%,5,モト麹,45912,R6兵庫山田錦40,40,20,5,モト掛,45919,R6兵庫山田錦40,40,30,5,冷凍,50,45920,45930,11,K-1801X3+(K-901),,
6,900,45936,純吟50/60,0,45959,18,0,6,モト麹,45920,R6八反錦60,60,20,6,モト掛,45923,R6広島雄町60,60,30,6,,50,45924,45932,9,K-901,,
7,900,45938,純吟50/60,0,45961,10,0,7,モト麹,45920,R6八反錦60,60,20,7,モト掛,45925,R6広島雄町60,60,30,7,冷蔵,50,45926,45934,9,UGO-1,,
10,600,45944,純吟50/60,0,45967,68,イマジン,10,モト麹,45926,R6岡山山田錦50,50,12,10,モト掛,45929,R6広島雄町60,60,23,10,,35,45930,45940,11,K-1801X2+(K-901),,
11,1350,45946,純米60/65,0,45969,62,辛口(2)ムロカ生,11,モト麹,45920,R6八反錦60,60,30,11,モト掛,45931,R6広島雄町60,60,50,11,冷凍,80,45932,45942,11,K-901,,
12,1350,45948,純米60/65,0,45971,63,辛口(3)ムロカ生,12,モト麹,45928,R6岡山山田錦60,60,30,12,モト掛,45933,R6広島雄町60,60,50,12,冷蔵,80,45934,45944,11,K-901,,
13,700,45950,純吟50/60(萌えいぶき)原形,0,45973,262,UGO(1),13,モト麹,45926,R6岡山山田錦50,50,15,13,モト掛,45935,R6広島山田錦50,50,25,13,冷凍,40,45936,45946,11,K-1801X2+(K-901),,
14,1350,45952,純米60/65,0,45975,19,辛口(4),14,モト麹,45933,R6広島雄町60,60,30,14,モト掛,45937,R6広島雄町60,60,50,14,冷蔵,80,45938,45948,11,K-701,,
15,1350,45954,純米60/65,0,45977,64,辛口(5),15,モト麹,45933,R6広島雄町60,60,30,15,モト掛,45939,R6広島雄町60,60,50,15,冷凍,80,45940,45950,11,K-701,,
16,1350,45956,純米60/65,0,45979,6,辛口(6),16,モト麹,45933,R6広島雄町60,60,30,16,モト掛,45941,R6広島雄町60,60,50,16,冷凍,80,45942,45952,11,K-701,,
17,1350,45958,純米八反錦65,0,45981,28,超辛(1),17,モト麹,45942,R6広島雄町60,60,30,17,モト掛,45945,R6岡山雄町50,50,50,17,,80,45946,45954,9,K-901,,
18,1350,45962,純吟50/60,0,45985,225,中汲み,18,モト麹,45943,R6広島山田錦50,50,30,18,モト掛,45947,R6広島雄町60,60,50,18,冷蔵,80,45948,45958,11,K-901,,
19,1350,45964,純吟50/60,0,45987,226,中汲み,19,モト麹,45946,R6広島山田錦50,50,30,19,モト掛,45949,R6広島雄町60,60,50,19,,80,45950,45960,11,K-901,,
20,1350,45966,純吟50/60,0,45989,227,中汲み,20,モト麹,45946,R6広島山田錦50,50,30,20,モト掛,45951,R6八反錦60,60,50,20,冷蔵,80,45952,45962,11,K-901,,
21,1000,45968,純大雄町50,0,45993,263,B.M.ムロカ生赤磐雄町100%,21,モト麹,45950,R6八反錦60,60,20,21,モト掛,45953,R6岡山雄町50,50,35,21,,55,45954,45964,11,K-1801X2+(K-901),,
22,1000,45970,純大雄町50,0,45995,288,B.M.ムロカ生赤磐雄町100%,22,モト麹,45952,R6八反錦60,60,20,22,モト掛,45955,R6岡山雄町50,50,35,22,,55,45956,45966,11,K-1801X2+(K-901),,
23,1000,45972,純大雄町50,0,45997,888,B.M.ムロカ生赤磐雄町100%,23,モト麹,45954,R6八反錦65,65,20,23,モト掛,45957,R6岡山雄町50,50,35,23,,55,45958,45968,11,K-1801X2+(K-901),,
24,900,45974,大吟40,0,46001,18,千本錦含む,24,モト麹,45956,R6兵庫山田錦40,40,20,24,モト掛,45959,R6兵庫山田錦40,40,30,24,,50,45960,45970,11,K-1801X3+(K-901),,
25,900,45976,大吟40,0,46003,10,山田錦100%,25,モト麹,45956,R6兵庫山田錦40,40,20,25,モト掛,45961,R6兵庫山田錦40,40,30,25,冷蔵,50,45962,45972,11,K-1801X3+(K-901),,
26,600,45978,純大40,0,46005,68,赤磐雄町100%,26,モト麹,45956,R6兵庫山田錦40,40,12,26,モト掛,45963,R6岡山雄町40,40,23,26,冷凍,35,45964,45974,11,K-1801X3+(K-901),,
27,1350,45980,純吟50/60,0,46005,62,0,27,モト麹,45962,R6広島山田錦50,50,30,27,モト掛,45965,R6広島雄町60,60,50,27,,80,45966,45976,11,K-901,,
28,1350,45982,純吟50/60,0,46006,63,0,28,モト麹,45964,R6岡山雄町50,50,30,28,モト掛,45967,R6広島雄町60,60,50,28,,80,45968,45978,11,UGO-1,,
29,1350,45984,純吟50/60,0,46007,19,0,29,モト麹,45966,R6岡山雄町50,50,30,29,モト掛,45969,R6広島雄町60,60,50,29,,80,45970,45980,11,K-1801X2+(K-901),,
30,1220,45986,特純13度山田錦60,0,46009,64,13度(2)おりがらみ,30,モト麹,45968,R6岡山雄町50,50,25,30,モト掛,45971,"R6広島山田錦2,3等60",60,40,30,,65,45972,45982,11,K-701,,
31,1220,45988,特純13度山田錦60,0,46011,6,13度(3)おりがらみ,31,モト麹,45970,R6兵庫山田錦40,40,25,31,モト掛,45973,"R6広島山田錦2,3等60",60,40,31,,65,45974,45984,11,K-701,,
32,1350,45990,純米60/65,0,46013,28,辛口(7),32,モト麹,45972,R6兵庫山田錦40,40,30,32,モト掛,45975,R6広島雄町60,60,50,32,,80,45976,45986,11,K-701,,
33,1350,45992,純米60/65,0,46015,225,辛口(8),33,モト麹,45974,R6広島雄町60,60,30,33,モト掛,45977,八反錦60,60,50,33,,80,45978,45988,11,K-701,,
34,1350,45994,純米60/65,0,46017,226,辛口(9),34,モト麹,45974,R6広島雄町60,60,30,34,モト掛,45979,八反錦60,60,50,34,,80,45980,45990,11,K-701,,
35,1350,45996,純吟60,0,46019,227,特純(1),35,モト麹,45974,R6広島雄町60,60,30,35,モト掛,45981,八反錦60,60,50,35,,80,45982,45992,11,K-901,,
36,900,46000,吟醸60,0,46025,263,0,36,モト麹,45982,R6広島山田錦60,60,20,36,モト掛,45985,八反錦60,60,30,36,,50,45986,45996,11,K-1801X2+(K-901),,
37,1000,46002,純吟山田錦50/55,0,46027,288,純吟山田錦(1),37,モト麹,45984,兵庫山田錦50,50,20,37,モト掛,45987,兵庫山田錦50,50,35,37,,55,45988,45998,11,UGO-1,,
38,1000,46004,純大山田錦50,0,46029,888,ムロカ生,38,モト麹,45986,八反錦60,60,20,38,モト掛,45989,兵庫山田錦50,50,35,38,,55,45990,46000,11,K-1801X2+(K-901),,
39,1000,46006,純大山田錦50,0,46031,18,ムロカ生,39,モト麹,45988,八反錦60,60,20,39,モト掛,45991,兵庫山田錦50,50,35,39,,55,45992,46002,11,K-1801X2+(K-901),,
40,600,46008,純大山田錦50,0,46033,68,ムロカ生,40,モト麹,45990,八反錦60,60,12,40,モト掛,45993,兵庫山田錦50,50,23,40,,35,45994,46004,11,K-901,,
41,800,46010,純吟50/60(千本錦)原形,0,46034,10,UGO(2),41,モト麹,45992,八反錦60,60,15,41,モト掛,45995,兵庫山田錦50,50,30,41,,45,45996,46006,11,UGO-1,,
42,1350,46012,純米八反錦65,0,46035,62,超辛(2),42,モト麹,45993,八反錦60,60,30,42,モト掛,45997,八反錦60,60,50,42,,80,45998,46008,11,K-901,,
43,1350,46014,純米八反錦65,0,46037,63,超辛(3),43,モト麹,45996,八反錦60,60,30,43,モト掛,45999,八反錦60,60,50,43,,80,46000,46010,11,K-901,,
44,1350,46016,純米60/65,0,46039,19,辛口(10),44,モト麹,45998,八反錦60,60,30,44,モト掛,46001,八反錦60,60,50,44,,80,46002,46012,11,K-701,,
45,1350,46018,純米60/65,0,46041,64,辛口(11),45,モト麹,45998,八反錦60,60,30,45,モト掛,46003,八反錦60,60,50,45,,80,46004,46014,11,K-701,,
46,1350,46020,純米60/65,0,46043,6,辛口(12),46,モト麹,45998,八反錦60,60,30,46,モト掛,46005,八反錦60,60,50,46,,80,46006,46016,11,K-701,,
47,1350,46028,八反錦(呉産)60,0,46051,28,未希米100%,47,モト麹,46010,八反錦(呉産)60,60,30,47,モト掛,46013,八反錦(呉産)60,60,50,47,,80,46014,46024,,,,
48,1350,46030,純吟山田錦50/55,0,46053,225,純吟山田錦(2),48,モト麹,46012,兵庫山田錦50,50,30,48,モト掛,46015,兵庫山田錦50,50,50,48,,80,46016,46026,,,,
49,1350,46032,純大雄町50,0,46059,226,ムロカ生,49,モト麹,46014,R6岡山雄町50,50,30,49,モト掛,46017,R6岡山雄町50,50,50,49,,80,46018,46028,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,,,,
50,1350,46034,純大雄町50,0,46061,227,ムロカ生,50,モト麹,46016,R6岡山雄町50,50,30,50,モト掛,46019,R6岡山雄町50,50,50,50,,80,46020,46030,,,,
51,900,46036,大吟40,0,46063,262,山田錦100%,51,モト麹,46016,兵庫山田錦35,35,20,51,モト掛,46019,兵庫山田錦35,35,30,51,,50,46020,46032,,,,
52,900,46038,大吟40,0,46065,263,山田錦100%,52,モト麹,46018,兵庫山田錦35,35,20,52,モト掛,46021,兵庫山田錦35,35,30,52,,50,46022,46034,,,,
53,800,46040,大吟35,0,46067,18,山田錦100%,53,モト麹,46020,兵庫山田錦35,35,15,53,モト掛,46023,兵庫山田錦35,35,30,53,,45,46024,46036,,,,
54,800,46042,大吟35,0,46069,10,山田錦100%,54,モト麹,46022,兵庫山田錦35,35,15,54,モト掛,46025,兵庫山田錦35,35,30,54,,45,46026,46038,,,,
55,400,46044,純大35,0,46071,264,山田錦100%,55,モト麹,46024,兵庫山田錦35,35,7,55,モト掛,46027,兵庫山田錦35,35,15,55,,22,46028,46040,,,,
56,400,46046,純吟50/60(千本錦40)原形,0,46069,68,UGO(3),56,モト麹,46026,兵庫山田錦35,35,7,56,モト掛,46029,兵庫山田錦40,40,15,56,,22,46030,46042,,,,
57,1000,46048,純大愛山50,0,46073,288,愛山100%,57,モト麹,46028,兵庫愛山50,50,20,57,モト掛,46031,兵庫愛山50,50,35,57,,55,46032,46044,,,,
58,1000,46050,純大愛山50,0,46075,888,愛山100%,58,モト麹,46030,兵庫愛山50,50,20,58,モト掛,46033,兵庫愛山50,50,35,58,,55,46034,46046,,,,
59,1350,46052,純吟50/60,0,46076,62,0,59,モト麹,46032,兵庫山田錦50,50,30,59,モト掛,46035,八反錦60,60,50,59,,80,46036,46048,,,,
60,1350,46054,純吟50/60,0,46077,63,0,60,モト麹,46034,兵庫山田錦50,50,30,60,モト掛,46037,八反錦60,60,50,60,,80,46038,46050,,,,
61,1350,46056,純吟50/60,0,46079,19,0,61,モト麹,46036,兵庫山田錦50,50,30,61,モト掛,46039,八反錦60,60,50,61,,80,46040,46052,,,,
62,1350,46058,白鶴錦48,0,46081,64,白鶴錦100%,62,モト麹,46038,白鶴錦48,48,30,62,モト掛,46041,白鶴錦48,48,50,62,,80,46042,46054,,,,
63,1350,46060,白鶴錦48,0,46083,6,白鶴錦100%,63,モト麹,46040,白鶴錦48,48,30,63,モト掛,46043,白鶴錦48,48,50,63,,80,46044,46056,,,,
64,1000,46062,純吟50/60(山田錦)原形,0,46085,28,UGO(4),64,モト麹,46042,兵庫山田錦50,50,20,64,モト掛,46045,兵庫山田錦50,50,35,64,,55,46046,46058,,,,
65,1200,46064,純大千本錦50,0,46087,225,ムロカ生,65,モト麹,46044,兵庫山田錦50,50,25,65,モト掛,46047,兵庫山田錦50,50,45,65,,70,46048,46060,,,,
66,1200,46066,純大千本錦50,0,46089,226,ムロカ生,66,モト麹,46046,兵庫山田錦50,50,25,66,モト掛,46049,兵庫山田錦50,50,45,66,,70,46050,46062,,,,
67,1200,46068,純大千本錦50,0,46091,227,ムロカ生,67,モト麹,46048,兵庫山田錦50,50,25,67,モト掛,46051,兵庫山田錦50,50,45,67,,70,46052,46064,,,,
68,800,45707,純吟50/60(萌えいぶき)原形,0,45730,262,UGO(5),68,モト麹,45687,兵庫山田錦50,50,15,68,モト掛,45690,兵庫山田錦50,50,30,68,,45,45691,45703,,,,
69,800,45709,純大40,0,45732,263,0,69,モト麹,45689,岡山雄町40,40,15,69,モト掛,45692,岡山雄町40,40,30,69,,45,45693,45705,,,,
70,800,45711,純大40,0,45734,18,0,70,モト麹,45691,岡山雄町40,40,15,70,モト掛,45694,岡山雄町40,40,30,70,,45,45695,45707,,,,
71,900,45713,純吟50/60(八反錦)原形,0,45736,10,UGO(6),71,モト麹,45693,兵庫山田錦50,50,20,71,モト掛,45696,兵庫山田錦50,50,30,71,,50,45697,45709,,,,
72,600,45715,純吟50/60,0,45738,68,0,72,モト麹,45695,兵庫山田錦50,50,12,72,モト掛,45698,八反錦60,60,23,72,,35,45699,45711,,,,
73,1000,45717,純吟50/60,0,45740,288,フレスタ,73,モト麹,45697,兵庫山田錦50,50,20,73,モト掛,45700,八反錦60,60,35,73,,55,45701,45713,,,,
74,1000,45719,純吟50/60,0,45742,888,微発泡,74,モト麹,45699,兵庫山田錦50,50,20,74,モト掛,45702,八反錦60,60,35,74,,55,45703,45715,,,,
75,1200,45721,純大八反35号50,0,45744,62,0,75,モト麹,45701,兵庫山田錦50,50,25,75,モト掛,45704,兵庫山田錦50,50,45,75,,70,45705,45717,,,,
76,1200,45723,純大八反35号50,0,45746,63,0,76,モト麹,45703,兵庫山田錦50,50,25,76,モト掛,45706,兵庫山田錦50,50,45,76,,70,45707,45719,,,,
77,1350,45725,純大雄町50,0,45748,19,B.M.赤磐雄町100%,77,モト麹,45705,岡山雄町50,50,30,77,モト掛,45708,岡山雄町50,50,50,77,,80,45709,45721,,,,
78,1350,45727,純大雄町50,0,45750,64,B.M.赤磐雄町100%,78,モト麹,45707,岡山雄町50,50,30,78,モト掛,45710,岡山雄町50,50,50,78,,80,45711,45723,,,,
79,1350,45729,純大雄町50,0,45752,6,B.M.赤磐雄町100%,79,モト麹,45709,岡山雄町50,50,30,79,モト掛,45712,岡山雄町50,50,50,79,,80,45713,45725,,,,
80,1200,45731,純吟55,0,45754,28,涼風,80,モト麹,45711,兵庫山田錦55,55,25,80,モト掛,45714,兵庫山田錦55,55,45,80,,70,45715,45727,,,,
81,1200,45733,純吟55,0,45756,225,涼風,81,モト麹,45713,兵庫山田錦55,55,25,81,モト掛,45716,兵庫山田錦55,55,45,81,,70,45717,45729,,,,
82,1200,45735,純吟55,0,45758,226,涼風,82,モト麹,45715,兵庫山田錦55,55,25,82,モト掛,45718,兵庫山田錦55,55,45,82,,70,45719,45731,,,,
83,1200,45737,純吟55,0,45760,227,涼風,83,モト麹,45717,兵庫山田錦55,55,25,83,モト掛,45720,兵庫山田錦55,55,45,83,,70,45721,45733,,,,
84,750,45739,純吟岡山雄町(GAP)原形60,0,45762,262,望月(1),84,モト麹,45719,岡山雄町(GAP)60,60,15,84,モト掛,45722,岡山雄町(GAP)60,60,25,84,,40,45723,45735,,,,
85,750,45741,純吟岡山雄町(GAP)原形60,0,45764,263,望月(2),85,モト麹,45721,岡山雄町(GAP)60,60,15,85,モト掛,45724,岡山雄町(GAP)60,60,25,85,,40,45725,45737,,,,
86,1000,45745,純吟山田錦50/55,0,45768,18,純吟山田錦(3),86,モト麹,45725,兵庫山田錦50,50,20,86,モト掛,45728,兵庫山田錦50,50,35,86,,55,45729,45741,,,,
87,1000,45747,純吟山田錦50/55,0,45770,10,純吟山田錦(4),87,モト麹,45727,兵庫山田錦50,50,20,87,モト掛,45730,兵庫山田錦50,50,35,87,,55,45731,45743,,,,
88,600,45749,純吟愛山60,0,45772,68,愛山100%,88,モト麹,45729,兵庫愛山60,60,12,88,モト掛,45732,兵庫愛山60,60,23,88,,35,45733,45745,,,,
89,900,45751,吟醸60,0,45774,288,0,89,モト麹,45731,八反錦60,60,20,89,モト掛,45734,八反錦60,60,30,89,,50,45735,45747,,,,
90,900,45753,吟醸60,0,45776,888,0,90,モト麹,45733,八反錦60,60,20,90,モト掛,45736,八反錦60,60,30,90,,50,45737,45749,,,,
91,1200,45755,純大八反錦45,0,45778,62,0,91,モト麹,45735,八反錦45,45,25,91,モト掛,45738,八反錦45,45,45,91,,70,45739,45751,,,,
92,1350,45757,純米八反錦65,0,45780,63,超辛(4),92,モト麹,45737,八反錦60,60,30,92,モト掛,45740,八反錦60,60,50,92,,80,45741,45753,,,,
93,1350,45759,純米八反錦65,0,45782,19,超辛(5),93,モト麹,45739,八反錦60,60,30,93,モト掛,45742,八反錦60,60,50,93,,80,45743,45755,,,,
94,1350,45761,純吟60,0,45784,64,特純(2),94,モト麹,45741,八反錦60,60,30,94,モト掛,45744,八反錦60,60,50,94,,80,45745,45757,,,,
95,1350,45763,純吟60,0,45786,6,特純(3),95,モト麹,45743,八反錦60,60,30,95,モト掛,45746,八反錦60,60,50,95,,80,45747,45759,,,,
96,1220,45765,特純13度山田錦60,0,45788,28,13度(4),96,モト麹,45745,兵庫山田錦50,50,25,96,モト掛,45748,兵庫山田錦50,50,40,96,,65,45749,45761,,,,
97,1220,45767,特純13度山田錦60,0,45790,225,13度(5),97,モト麹,45747,兵庫山田錦50,50,25,97,モト掛,45750,兵庫山田錦50,50,40,97,,65,45751,45763,,,,
98,1350,45769,純米70,0,45792,226,0,98,モト麹,45749,八反錦60,60,30,98,モト掛,45752,八反錦60,60,50,98,,80,45753,45765,,,,
99,1350,45771,純米70,0,45794,227,0,99,モト麹,45751,八反錦60,60,30,99,モト掛,45754,八反錦60,60,50,99,,80,45755,45767,,,,
100,1350,45773,純吟60,0,45796,226,特純(4),100,モト麹,45753,八反錦60,60,30,100,モト掛,45756,八反錦60,60,50,100,,80,45757,45769,13,K-901,,